Item,Quant. Needed,Order Quant.,Price,Link
nRF52840,1,1,$9.99,https://www.seeedstudio.com/Seeed-XIAO-BLE-nRF52840-p-5201.html?srsltid=AfmBOooNVJRtJbW0_-sioOdgaC2nRMISnjG38KtNPB509mUfPgTSD2YQ
Keycaps,24,24,$0.00,3D printing
Diodes,24,100,$1.35,https://www.aliexpress.us/item/3256801808479789.html?
Battery,1,1,$11.79,https://www.aliexpress.us/item/3256809787664995.html
Shipping,,,$5.46,
Key Switches,24,40,$17.45,https://www.aliexpress.us/item/3256806069646359.html?spm=a2g0o.productlist.main.9.27137300GARy9E&algo_pvid=c1cf5782-d30f-48cf-9496-b332120200bc&algo_exp_id=c1cf5782-d30f-48cf-9496-b332120200bc-8&pdp_ext_f=%7B%22order%22%3A%22929%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.88%214.85%21%21%2140.92%2133.73%21%402103119c17668445804282567ee172%2112000036489552472%21sea%21US%216930286785%21X%211%210%21n_tag%3A-29911%3Bd%3Afca42ad0%3Bm03_new_user%3A-29895%3BpisId%3A5000000196383357&curPageLogUid=LDuyRYq73UGM&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006255961111%7C_p_origin_prod%3A
806K Resistor,1,5,$0.50,https://www.digikey.com/en/products/detail/yageo/RC0805FR-07806KL/728163?_gl=1*4gvh37*_up*MQ..*_gs*MQ..&gclid=Cj0KCQiApL7KBhC7ARIsAD2Xq3BnetevqobDLaJXFequbegAI4TZ99Bg5tDC2t5AI5cwf-Y5ro517YwaAmoDEALw_wcB&gclsrc=aw.ds&gbraid=0AAAAADrbLli4t4EHTCttVpMlLiA4DVNdA
2M Resistor,1,5,$0.90,https://www.digikey.com/en/products/detail/te-connectivity-passive-product/CPF0805B2M0E/4966423?_gl=1*11z9isq*_up*MQ..*_gs*MQ..&gclid=Cj0KCQiApL7KBhC7ARIsAD2Xq3BnetevqobDLaJXFequbegAI4TZ99Bg5tDC2t5AI5cwf-Y5ro517YwaAmoDEALw_wcB&gclsrc=aw.ds&gbraid=0AAAAADrbLli4t4EHTCttVpMlLiA4DVNdA
Shipping,,,$4.99,
Total,,,$52.43,
Total with tax,,,$56.10,
